number,value,datetime_start,datetime_complete,duration,params_approach_bonus_base,params_dead_end_penalty,params_discard_2_exit_value,params_discard_3_4_exit_value,params_discard_dead_end_value,params_discard_duplicate_penalty,params_discard_enemy_door_value,params_discard_key_useless_value,params_discard_ladder_value,params_discard_own_door_value,params_down_opening_bonus,params_enemy_door_penalty,params_ladder_bonus,params_max_kept_repairs,params_own_door_bonus,params_retreat_penalty,params_side_step_bonus,state
0,1.249828318057696,2026-05-10 18:14:21.068871,2026-05-10 18:14:28.755380,0 days 00:00:07.686509,36.339979415643754,35.462213595912374,16.390934324227207,35.67983064711237,-9.455037134863183,-34.90659536873922,-36.08728944649116,-29.85230396360981,98.12740265181456,-4.252622103945956,45.798015751305435,19.705364472350798,28.640765542060656,2,0.6559895812754934,46.21149566096549,10.21533113862348,COMPLETE
1,1.1840824608392175,2026-05-10 18:14:28.755444,2026-05-10 18:14:37.313356,0 days 00:00:08.557912,82.99605863197147,53.57202193957081,0.769768733405062,35.6553376340925,-21.961128210832502,-37.18892247907822,-0.8977440416592017,-4.655124630045179,60.55058118096321,-1.1241951343197023,42.44760347062308,29.08771946755029,43.53365871736194,2,17.15328000527508,34.885413367888496,9.81689766424447,COMPLETE
2,1.2334939759036145,2026-05-10 18:14:37.313405,2026-05-10 18:14:45.266886,0 days 00:00:07.953481,41.929356857239355,71.32217499812424,11.914354100808712,78.9740215978367,-41.52362987677072,-23.550469060983477,-35.213654841204985,-11.226661183855775,55.831789893769596,14.167733757555673,26.451019878779555,33.376590748580725,20.088235225054003,1,19.80551607627297,30.820451839187655,19.529182132197423,COMPLETE
3,1.1826303146769157,2026-05-10 18:14:45.266933,2026-05-10 18:14:53.479719,0 days 00:00:08.212786,60.90550806947938,48.54328328528823,10.834992123241712,41.89946598502633,-41.52549714618118,-24.40731070693932,-48.65495131662152,-44.64179447875165,89.23649524323804,18.779097540564102,48.80706188028188,25.972585350605055,21.728417001532286,2,4.4356925095459125,85.43449260680383,9.04372333799613,COMPLETE
4,1.263137670525572,2026-05-10 18:14:53.479763,2026-05-10 18:15:01.464545,0 days 00:00:07.984782,91.70336585525229,32.34271332985256,19.085271076995554,72.17338821573273,-17.3287179210119,-11.913560053695523,-11.676168702584597,-11.363245256756748,95.3677866280295,-17.073296071635106,36.14537554887153,13.271830395751001,11.557647828209152,0,10.992731610021645,73.96517729416499,4.809574322840689,COMPLETE
5,1.2131554261685267,2026-05-10 18:15:01.464586,2026-05-10 18:15:09.438747,0 days 00:00:07.974161,46.905427183522775,70.58639134348331,20.06675565445592,24.85806472416141,-8.050940601519436,-37.85712613964148,-46.08180678724934,-42.33337471692553,82.8185842883307,-10.259176438876718,46.90258480614022,11.614958204245934,16.20236615133113,2,7.913800135888032,30.4528502859627,0.42310707105398304,COMPLETE
6,1.2335510204081632,2026-05-10 18:15:09.438795,2026-05-10 18:15:16.992916,0 days 00:00:07.554121,34.64739095912966,33.07133899625376,17.230054500282385,75.04252587273982,-14.256353377059689,-20.063982117668377,-22.463053501398853,-22.607569172091875,32.931129375526446,7.905914651617426,29.93071241932402,12.56018658298256,14.260076879850994,2,1.108947198456296,60.788183501184875,7.5839968500560895,COMPLETE
7,1.1793435496141724,2026-05-10 18:15:16.992957,2026-05-10 18:15:25.523113,0 days 00:00:08.530156,35.382783675310236,44.41959809316262,15.219450942164173,69.5864422779922,-22.818059866277267,-31.418758012171235,-45.03584011290479,-26.25353816591615,99.56094786069725,8.737308794934968,37.66851497949591,35.225532733215715,49.29706861974303,1,0.6943393133936571,56.21729921138481,6.509824583345578,COMPLETE
8,1.223447015184266,2026-05-10 18:15:25.523189,2026-05-10 18:15:34.876306,0 days 00:00:09.353117,92.50832663439022,41.495320193892056,18.099187520967746,60.65019918369985,-15.919867238509589,-9.0700165254615,-38.865948956552266,-13.066727867683788,82.07061330537536,-18.750330909934764,29.468554794852228,20.76124730219189,22.674263981518067,1,3.6091497982902565,53.46781607276311,1.983904803239307,COMPLETE
9,1.2061590234066324,2026-05-10 18:15:34.876348,2026-05-10 18:15:43.264039,0 days 00:00:08.387691,35.67657546323153,27.778676950337356,7.941008727406732,47.53570619794752,-31.22233875519097,-21.674394227463758,-0.14916321079819994,-19.699361444792395,46.81144815831355,10.407235373635935,38.38416501779541,8.47487496537252,40.93873601632214,0,13.297440584936721,33.680657310703424,9.584039882355963,COMPLETE
