number,value,datetime_start,datetime_complete,duration,params_discard_2_exit_value,params_discard_3_4_exit_value,params_discard_dead_end_value,params_discard_duplicate_penalty,params_discard_enemy_door_value,params_discard_key_useless_value,params_discard_ladder_value,params_discard_own_door_value,params_ladder_bonus,params_max_kept_repairs,params_max_kept_sabotages,params_rockfall_base,params_rockfall_gold_penalty,params_rockfall_ladder_bonus,params_rockfall_own_path_penalty,params_sabotage_cart_weight,params_sabotage_lamp_weight,params_sabotage_pickaxe_weight,state
21,0.5,2026-05-10 19:07:07.059976,2026-05-10 19:07:07.074640,0 days 00:00:00.014664,24.841794594491233,65.4139065106447,-7.194090513285146,-35.836453810279686,-12.4437909448861,-7.138761051684801,69.96751339550481,5.077496118154743,30.085220419418043,2,2,16.878769974161685,90.4013504184516,66.38724096929407,68.18373821769785,22.576899892149797,10.533813020110195,10.782207984016356,COMPLETE
22,0.5,2026-05-10 19:07:07.074677,2026-05-10 19:07:07.096248,0 days 00:00:00.021571,22.18630451477196,62.94297435861584,-6.027894350842434,-31.917393985988614,-12.996746459476938,-12.733295387840178,75.35215539924177,6.471118736847913,14.941189036529444,2,2,15.322497621332378,86.39940468646297,54.00670818746429,73.46899896860975,20.043328867252416,13.874074749947992,19.521697434614794,COMPLETE
23,0.5,2026-05-10 19:07:07.096287,2026-05-10 19:07:07.113651,0 days 00:00:00.017364,17.485384515131294,65.54120999088722,-8.845846681416358,-18.938889537189905,-20.718834478025716,-1.883081491053085,49.94529093260931,15.028072919591235,5.898154340334063,2,3,13.298224891622375,90.16552238462215,41.41449465840874,57.49793831752275,27.412439290232957,8.197440423092743,16.71729284699491,COMPLETE
24,0.5,2026-05-10 19:07:07.113690,2026-05-10 19:07:07.133306,0 days 00:00:00.019616,12.96808941356256,34.299351363903945,-14.368455785251491,-36.462976370134996,-3.203977134221123,-9.469742418698047,69.14848636126644,3.5228291588126055,37.18224530059084,2,1,18.837872127833933,72.67862555126483,28.290884439261852,83.42696366129894,29.90074252807905,16.147610983609695,8.330791732072859,COMPLETE
25,0.5,2026-05-10 19:07:07.133376,2026-05-10 19:07:07.153034,0 days 00:00:00.019658,25.87927484358415,57.70581403878233,-3.544941728205221,-25.077501862057957,-14.933419788190863,-16.375256521987815,59.073764158913136,8.786269370011432,21.212980405471065,2,2,20.152028978012503,95.29525550919008,46.85641766206905,71.27854685289083,22.92162306021572,12.117173897979082,13.062182701894404,COMPLETE
26,0.5,2026-05-10 19:07:07.153092,2026-05-10 19:07:07.172947,0 days 00:00:00.019855,26.81272196438163,44.620587369646586,-21.72493119874307,-30.482675577648198,-9.712818648687614,-8.414223939712208,87.17644734758343,-8.367236428737488,45.55428668438098,3,3,10.187434377165747,78.36827642455646,32.77943390732462,37.68531544184235,17.215061767181947,8.629582822436518,15.135116113601299,COMPLETE
27,0.5,2026-05-10 19:07:07.173006,2026-05-10 19:07:07.193976,0 days 00:00:00.020970,18.91778509653653,25.237953427544348,-10.892880690165235,-36.479692753445406,-34.3565706968661,-3.50019834776912,74.77366359408789,-3.6605351880583226,30.31306808768639,1,2,27.559437838770716,87.42680056322729,78.7517910239865,54.50791292678724,20.829459689664777,19.868501792859096,18.058462765372774,COMPLETE
28,0.5,2026-05-10 19:07:07.194015,2026-05-10 19:07:07.217237,0 days 00:00:00.023222,22.762741423502625,31.433228777366338,-3.353672100602072,-22.025799211467476,-7.715632518365271,-19.917012202322447,68.45105429109883,-16.458431665620104,40.01855741893385,2,1,37.81355921566851,49.552386591641884,38.567239723288814,49.910301341965294,13.604476729173175,17.032435976984285,9.864072316473234,COMPLETE
29,0.5,2026-05-10 19:07:07.217298,2026-05-10 19:07:07.237512,0 days 00:00:00.020214,27.373300491871184,54.270677242250215,-25.107519773197975,-27.015958474973683,-17.5987612936064,-25.488182314812697,64.05634976360096,8.660613471852065,10.086905619013908,2,1,34.54748817822938,77.94304219074272,50.58170469111946,88.98400356176998,7.736126567775003,27.057540378258626,6.711329047179125,COMPLETE
30,0.5,2026-05-10 19:07:07.237565,2026-05-10 19:07:07.258633,0 days 00:00:00.021068,12.798294017831662,59.73039462500721,-16.021672456654557,-14.739825357227835,-3.236818559205666,-31.906696088036743,47.40060332690224,12.188649227913368,45.359127841803044,3,2,13.098580080982856,36.864581229911764,24.775241927660378,62.02397874859005,24.139916645052345,13.444045062919141,10.918977529380987,COMPLETE
31,0.5,2026-05-10 19:07:07.258687,2026-05-10 19:07:07.277093,0 days 00:00:00.018406,23.949874610932607,71.43125199609683,-21.078386732930298,-30.28231962335228,-31.495633740536366,-33.41718992475501,59.09380273806495,16.958970861117386,49.41362742138614,3,1,45.10955797237652,94.58549253332131,51.61505159267819,22.621823591770465,8.077753743335627,27.972311066657017,9.724457436438236,COMPLETE
32,0.5,2026-05-10 19:07:07.277133,2026-05-10 19:07:07.294631,0 days 00:00:00.017498,21.629528910200364,53.742489316473886,-26.547745175751228,-34.33099304483551,-24.622028319939254,-48.34791005259976,51.94683910576659,1.4307162718025548,44.473070860748756,3,1,39.58905631400299,85.3248069277333,58.489632734008765,45.91211790748226,9.556438900870496,28.12847648879472,13.961101450312347,COMPLETE
33,0.5,2026-05-10 19:07:07.294672,2026-05-10 19:07:07.311933,0 days 00:00:00.017261,24.976857064693775,70.75100245325416,-13.35727397126542,-21.3577792545081,-28.829324653206978,-28.777970535252887,41.880159629441,9.593117388203401,47.3176765020007,2,1,36.72358685352695,66.50882249510863,65.30307014657335,38.5405240512213,5.01337183098988,18.130946980682616,11.776167312876197,COMPLETE
34,0.5,2026-05-10 19:07:07.311970,2026-05-10 19:07:07.329505,0 days 00:00:00.017535,19.75912696430257,36.634843618980334,-7.255233748864886,-29.212147907091342,-22.41771975629117,-35.75543727015366,66.0853023737796,12.288189500148873,21.704454707883816,3,1,48.527451991060374,93.63836136746207,44.223840085207826,43.60139147876711,6.803144546943318,22.537054485238993,19.98732331142945,COMPLETE
35,0.5,2026-05-10 19:07:07.329543,2026-05-10 19:07:07.346043,0 days 00:00:00.016500,27.04177118729055,51.950305599729305,-20.16998300080118,-26.06825336538033,-41.10214271678083,-26.19948432219626,72.7107852263001,-1.3076859816710797,18.231456728424753,2,3,15.232368854263566,74.11992202462227,54.13636214342844,67.92896161228353,21.572570912503895,24.770054797491767,14.936288263629361,COMPLETE
36,0.5,2026-05-10 19:07:07.346078,2026-05-10 19:07:07.362055,0 days 00:00:00.015977,17.057699921129934,76.77041809169266,-22.898731287690754,-6.6391992169802005,-38.42309364088969,-43.37784760234391,33.30122080627744,2.0637956769578016,40.76259628710842,3,1,41.802387604591694,62.54240609532613,68.65887543201478,59.11381444027724,6.221459516679943,23.72873100427031,7.975990115863529,COMPLETE
37,0.5,2026-05-10 19:07:07.362092,2026-05-10 19:07:07.377726,0 days 00:00:00.015634,6.981659701693699,45.82765937708196,-32.22818881730026,-33.568953484882464,-28.16533828698223,-36.0585895457739,78.20402724269843,10.258526386303632,42.618809866920046,2,1,49.24453443896627,82.32610827265322,44.348534103853424,12.55090044525852,8.727540753858953,27.68547330706533,10.316140990113135,COMPLETE
